Date,Day,Working
7-16-2021,Friday,W
7-17-2021,Saturday,H
7-18-2021,Sunday,H
7-19-2021,Monday,W
7-20-2021,Tuesday,W
7-21-2021,Wednesday,W
7-22-2021,Thursday,W
7-23-2021,Friday,W
7-24-2021,Saturday,H
7-25-2021,Sunday,H
7-26-2021,Monday,W
7-27-2021,Tuesday,W
7-28-2021,Wednesday,W
7-29-2021,Thursday,W
7-30-2021,Friday,W
7-31-2021,Saturday,H
